goos: darwin
goarch: arm64
pkg: github.com/mateothegreat/go-validation
cpu: Apple M1 Max
BenchmarkValidationSuite/Scaling/Range_Int64_Invalid_Size100000_Size100000_Conc1-10          	 7088462	       172.9 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Valid_Size10_Size10_Conc1-10                  	354055539	         3.396 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Valid_Size100_Size100_Conc1-10                	349949749	         3.418 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Valid_Size1000_Size1000_Conc1-10              	355108994	         3.393 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Valid_Size10000_Size10000_Conc1-10            	349567422	         3.430 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Valid_Size100000_Size100000_Conc1-10          	355054183	         3.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Invalid_Size10_Size10_Conc1-10                	 4487640	       265.6 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Invalid_Size100_Size100_Conc1-10              	 4560920	       262.7 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Invalid_Size1000_Size1000_Conc1-10            	 4542529	       263.6 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Invalid_Size10000_Size10000_Conc1-10          	 4527804	       264.2 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Scaling/Range_Float64_Invalid_Size100000_Size100000_Conc1-10        	 4523161	       266.5 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Valid_Size10_Size10_Conc1-10            	304806738	         4.003 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Valid_Size100_Size100_Conc1-10          	297380511	         4.038 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Valid_Size1000_Size1000_Conc1-10        	261356458	         3.996 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Valid_Size10000_Size10000_Conc1-10      	295983746	         4.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Valid_Size100000_Size100000_Conc1-10    	301656880	         3.975 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Invalid_Size10_Size10_Conc1-10          	 8418676	       136.1 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Invalid_Size100_Size100_Conc1-10        	 8896018	       134.0 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Invalid_Size1000_Size1000_Conc1-10      	 8822088	       134.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Invalid_Size10000_Size10000_Conc1-10    	 8852342	       133.7 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MinLen_Invalid_Size100000_Size100000_Conc1-10  	 8809900	       134.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Valid_Size10_Size10_Conc1-10            	301885747	         3.935 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Valid_Size100_Size100_Conc1-10          	300226983	         3.996 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Valid_Size1000_Size1000_Conc1-10        	304842356	         3.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Valid_Size10000_Size10000_Conc1-10      	299043309	         3.994 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Valid_Size100000_Size100000_Conc1-10    	305082482	         4.280 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Invalid_Size10_Size10_Conc1-10          	 9065318	       132.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Invalid_Size100_Size100_Conc1-10        	 9021648	       133.2 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Invalid_Size1000_Size1000_Conc1-10      	 9055590	       130.9 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Invalid_Size10000_Size10000_Conc1-10    	 9036972	       129.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/StringLength_MaxLen_Invalid_Size100000_Size100000_Conc1-10  	 9170449	       129.4 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Valid_Size10_Size10_Conc1-10           	132455763	         8.718 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Valid_Size100_Size100_Conc1-10         	136796449	         8.723 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Valid_Size1000_Size1000_Conc1-10       	138410512	         8.726 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Valid_Size10000_Size10000_Conc1-10     	100000000	        10.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Valid_Size100000_Size100000_Conc1-10   	137669001	         8.666 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Invalid_Size10_Size10_Conc1-10         	 9897620	       126.1 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Invalid_Size100_Size100_Conc1-10       	 9335702	       119.6 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Invalid_Size1000_Size1000_Conc1-10     	10035612	       120.8 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Invalid_Size10000_Size10000_Conc1-10   	 9521680	       129.7 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Alpha_Invalid_Size100000_Size100000_Conc1-10 	 9787654	       119.7 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Valid_Size10_Size10_Conc1-10    	67077669	        17.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Valid_Size100_Size100_Conc1-10  	68973278	        17.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Valid_Size1000_Size1000_Conc1-10         	67260961	        17.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Valid_Size10000_Size10000_Conc1-10       	68783674	        18.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Valid_Size100000_Size100000_Conc1-10     	67052216	        17.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Invalid_Size10_Size10_Conc1-10           	 9765627	       124.2 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Invalid_Size100_Size100_Conc1-10         	 9135270	       127.9 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Invalid_Size1000_Size1000_Conc1-10       	 9291922	       125.4 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Invalid_Size10000_Size10000_Conc1-10     	 9689902	       125.1 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_AlphaNumeric_Invalid_Size100000_Size100000_Conc1-10   	 9658966	       130.7 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Valid_Size10_Size10_Conc1-10                  	131119465	         8.834 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Valid_Size100_Size100_Conc1-10                	136478084	         8.802 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Valid_Size1000_Size1000_Conc1-10              	138378237	         8.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Valid_Size10000_Size10000_Conc1-10            	137619267	         8.760 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Valid_Size100000_Size100000_Conc1-10          	138061386	         8.873 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Invalid_Size10_Size10_Conc1-10                	 9656007	       115.5 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Invalid_Size100_Size100_Conc1-10              	10409911	       135.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Invalid_Size1000_Size1000_Conc1-10            	10084798	       117.3 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Invalid_Size10000_Size10000_Conc1-10          	10106822	       117.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/Characteristic_Numeric_Invalid_Size100000_Size100000_Conc1-10        	10082193	       118.6 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Valid_Size10_Size10_Conc1-10                                   	199995651	         5.255 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Valid_Size100_Size100_Conc1-10                                 	231403996	         5.494 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Valid_Size1000_Size1000_Conc1-10                               	229692015	         5.273 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Scaling/OneOf_Valid_Size10000_Size10000_Conc1-10                             	198379077	         5.221 ns/op	       0 B/op	       0 allocs/op
